disease,symptoms_causes,diagnosis,tests,treatment,prevention,source_url
Acute coronary syndrome,breath; Chest pain; discomfort; dyspnea; Fainting; fatigue; Feeling; Feeling lightheaded; heartbeat; heavy sweating; indigestion; lightheaded or dizzy; Nausea; Nausea or vomiting; other parts,a hospital; Acute coronary syndrome; an emergency; questions; Some tests; symptoms; tests; the cause; The healthcare team; the heart,A stress test; an ECG; angiogram; blockages; blood; Blood tests; Blood tests.; Coronary; Coronary angiogram; Coronary angiogram.; CT angiogram; CT angiogram.; CT scan; ECG; Echocardiogram; Echocardiogram.; EKG; Electrocardiogram; Electrocardiogram.; Exercise stress test,a heart attack; blood flow; distress; heart; heart function quickly; heart work; Improve blood; Improve blood flow; Lower the risk; Manage risk; Manage risk factors; pain; Relieve pain; Restore heart; Restore heart function; risk factors; the heart; the risk,a healthy weight; a medical office; alcohol; at least 30 minutes; Be active.; Check your cholesterol.; Control your blood pressure.; Don't smoke or use tobacco.; Eat healthy foods.; emotional stress; fruits; good sleep habits; healthy foods; heart health; help; high blood pressure; Keep a healthy weight.; Limit alcohol; Limit alcohol.; Manage stress.,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136
Acute kidney injury,appetite; breath; Chest pain; coma; Confusion; Confusion or fogginess; Fluid buildup; fogginess; heartbeat; Irregular; Irregular heartbeat; Itching; Less urine output; Loss; Loss of appetite,24 hours; A sample; biopsy; Blood tests; Blood tests.; CT scans; how much urine; Imaging tests; Imaging tests.; Kidney; Kidney biopsy; kidney tissue; scan; testing; ultrasound; Urinalysis; Urine; Urine output measures; Urine output measures.; Urine tests.,,a hospital stay; acute kidney; acute kidney injury; kidney injury; Most people; the hospital; the reason; Treatment; your acute kidney injury; your kidneys,"a healthy lifestyle; a healthy, balanced diet; a mineral; a prescription; added salt; alcohol; apples; bad infections; Choose foods lower in potassium.; foods; kidney; labels; Limit phosphorus; Limit phosphorus.; Live a healthy lifestyle.; many packaged foods; other ongoing conditions; pain medicines; Phosphorus; potassium; quickly for bad; treated quickly; your healthcare team",https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048
Acute liver failure,A general sense; a musty or sweet odor; A swollen belly; ascites; Breath; confusion; Disorientation; Disorientation or confusion; eyeballs; feeling unwell; jaundice; malaise; Nausea; Nausea and vomiting; Pain,A healthcare professional; A prothrombin time test measures; an ultrasound exam; biopsy; Blood tests; Blood tests.; Examination; Examination of liver tissue.; function tests; Imaging tests; Imaging tests.; Liver; Liver biopsy; Liver function; Liver function tests; liver tissue; the liver; Ultrasound,,A machine; a small piece; Acute liver failure; Artificial hepatic assist devices; Artificial hepatic assist devices.; Auxiliary liver transplantation; Auxiliary liver transplantation.; excess fluid; Hepatocyte transplantation; Hepatocyte transplantation.; infections; Liver; Liver transplant; Liver transplant.; Medicines; Medicines to reverse poisoning.; nutritional deficiencies; nutritional support; only the cells; poisoning; Preventing severe bleeding.; Providing nutritional support.; Relieving pressure; samples; Screening for infections.; severe bleeding; supplements; the brain; the job; the liver; the only treatment; This procedure; This type; transplant; transplant replaces; Xenotransplantation; Xenotransplantation.; Your care team,a condition; a healthy weight; a history; a poisonous mushroom; aerosol; alcohol; all your medicines; an aerosol; any type; Avoid risky behavior.; body fluids; care; chronic liver disease; contact; Don't eat wild mushrooms.; Even nonprescription; Follow instructions on medicines.; Get vaccinated.; healthy adults; help,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863
Acute lymphocytic leukemia,a general decrease; Bleeding; Bone; Bone pain; breath; fatigue; Fever; Frequent; Frequent infections; Frequent or severe; Frequent or severe nosebleeds; gums; infections; Lumps; pain,a bone marrow aspiration; A bone marrow biopsy; a healthcare professional; A lumbar puncture test; a small piece; a spinal tap; a spot; a thin needle; an X; biopsy; Blood tests; Blood tests.; bone marrow aspiration; Bone marrow test; Bone marrow test.; enough red blood cells; Imaging tests; Imaging tests.; liquid bone marrow; ray; Spinal fluid test; Spinal fluid test.; the hip bone; the same time; This second procedure; too many or too few white blood cells,,A bone marrow transplant; A specialized treatment; a stem cell transplant; Acute lymphocytic leukemia; Acute lymphocytic leukemia care; Bone marrow; Bone marrow transplant; Bone marrow transplant.; Cancer; cancer cells; Cancer treatment; CAR-T cell; CAR-T cell therapy; cell therapy; Chemotherapy; Chemotherapy.; chimeric antigen receptor; Clinical trials; Clinical trials.; Consolidation therapy; Consolidation therapy.; drugs; each phase; Engineering immune cells; experiments; high-powered beams; Induction therapy; Induction therapy.; marrow transplant; Mayo Clinic; Radiation; Radiation therapy; therapy; treatment,,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
Acute myelogenous leukemia,breath; bruising; change; Common places; Easy; Easy bruising; Feeling; Feeling very tired; Fever; Frequent; Frequent infections; gums; infections; no clear cause; Pain,a bone marrow aspiration; A bone marrow biopsy; a healthcare professional; a small piece; a spot; a thin needle; Acute myeloid leukemia diagnosis; an exam; blood and lab tests; bone marrow biopsy; gums; imaging; liquid bone marrow; lumbar puncture; Other tests; Tests; the hip bone; the mouth; the same time; This second procedure,a complete blood count; a sample; a test; acute myelogenous leukemia; AML; blood; blood cells; Blood tests; concern; Imaging; Imaging tests; MRI; pictures; the body; the brain; the leukemia; the leukemia cells; the number; The results; This test,Acute myelogenous leukemia; Acute myelogenous leukemia care; Bone marrow; Bone marrow transplant; Bone marrow transplant.; Cancer; Cancer treatment; Chemotherapy; Chemotherapy.; Clinical trials.; Consolidation therapy; Consolidation therapy.; marrow transplant; Mayo Clinic; post-remission therapy; Remission induction therapy; Remission induction therapy.; Targeted therapy.; the leukemia cells; This first phase,,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
Acute sinusitis,a prescription; a runny nose; Aching; Advil; allergies; Allergy medicines; Allergy medicines.; Bad; Bad breath; Blocked or stuffy nose; breath; Changed sense; congestion; Cough; Decongestants,"A CT scan; A health care provider; a thin, flexible tube; acute sinusitis; Allergy skin; Allergy skin tests; CT scan; details; Imaging studies; Imaging studies.; Lab tests; MRI; Nasal; Nasal and sinus samples; Nasal and sinus samples.; Nasal endoscopy.; scan; skin tests",,a prescription; acute; acute sinusitis; Advil; allergies; Allergy medicines; Allergy medicines.; allergy shots; cases; cases of acute; caused; caused or made; Decongestants; Decongestants.; ease symptoms; immunotherapy; made; made worse; Most cases; Motrin IB; Nasal corticosteroids; Nasal corticosteroids.; needed; Pain relievers; Pain relievers.; Saline nasal spray; Saline nasal spray.; Salt water; Self-care; sinusitis; sinusitis caused; swelling; symptoms; the nose; the-counter; These medicines; These nasal sprays; worse by allergies,a machine; a specially designed squeeze bottle; a warm compress; allergies; cigarette smoke; colds; Drink fluids; Drink fluids.; fluids; forehead; infection and speed recovery; Keep sinuses moist.; Manage allergies.; moist; moisture; other infections; people; plenty; polluted air; Rest; Rest.; sinuses; Stay well.; symptoms; the air; the body; the inside; the nose; the steam; Tobacco smoke; Use a warm compress.; your health care provider,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671
Addison's disease,a type; Areas; Body hair; Body hair loss; body water; called fatigue; Confusion; consciousness; craving; darkened skin; dehydration; Depression; diarrhea; Dizziness; Extreme loss,A CT scan; ACTH; ACTH stimulation test; ACTH stimulation test.; blood levels; Blood test; Blood test.; CT scan; Imaging tests; Imaging tests.; Insulin-induced hypoglycemia test; Insulin-induced hypoglycemia test.; MRI; scan; the adrenal glands; the pituitary gland; the stomach area; This test,,(Cortef; a corticosteroid medicine injection kit; a medical alert card; a needle; aldosterone; all times; bracelet; contact; Corticosteroids; even one day; extra medicine; Fludrocortisone; Fludrocortisone acetate; Have yearly checkups.; hormone conditions; Hydrocortisone; Keep extra medicine handy.; medicine; prednisone; Saline,Addison's disease; adrenal insufficiency; an emergency room; emergency room; medicine; weight; your healthcare; your medicine,https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293
Adjustment disorders,acute symptoms; bills; concentrating; Crying; daily activities; difficulty; difficulty concentrating; difficulty with daily; eating; enjoying things; family; Feeling; feeling anxious; Feeling irritable; Feeling sad,a specific stressful event; a stressful life event; another mental health problem; emotional or behavioral symptoms; higher-than-expected stress; response; Symptoms; the typical grieving process; three months,,adjustment disorders; emotional support; find treatment helpful; longer treatment; Many people; medicines; ongoing stress; only brief treatment; persistent adjustment disorders; Provide emotional; Provide emotional support; routine; skills; stress management; stressful event; stressful event affected; talk therapy; the stressful event; treatment; typical routine; your typical routine,a stressful situation; adjustment disorders; advance; care; emotional; emotional well-being; hard times; healthy coping skills; high stress; no guaranteed ways; retirement; social support; some steps; steps; times; well-being,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224
Adnexal tumors and masses,A feeling; belly; Bleeding; bloating; Constipation; Constipation or bloating; Fever; fullness; Nausea; Nausea and vomiting; ordinary; Pain; painful period cramps; pressure; the vagina,a hand; a healthcare professional; a pelvic exam; adnexal tumors; blood tests; diagnose adnexal tumors; gloved fingers; imaging tests; masses; order; Other tests; procedures; the belly; the external genitals; the pelvic organs; the same time; the vagina; tumors and masses; vagina,A blood test; A pregnancy test; an adnexal tumor; an infection; an ultrasound; Blood tests; computerized tomography scan; find an infection; Imaging tests; mass; pictures; pregnancy test; signs; size; Tests; the body; the location; tumor markers,a small cyst; adnexal tumors; an adnexal tumor; growth; masses; no treatment; some situations; Surgery; the type; Treatment,,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053
Adrenal cancer,a small injury; appetite; Back; Back pain; Belly; Belly pain; blood pressure; Bruises; Bruises that happen; diabetes; gain; High blood; High blood pressure; High blood sugar; Losing,a physical exam; adrenal cancer; blood; Diagnosis; imaging tests; review; surgery; the adrenal gland; urine tests; your health history and family medical history,"a healthy range; adrenal cancer; aldosterone; blood; cortisol; CT, MRI and positron emission tomography scans; growths; Healthcare professionals; hormones; Imaging tests; Lab tests; levels; PET scans; signs; the adrenal glands; the cancer; the images; Those hormones; urine",a treatment; Ablation; Ablation therapy; adrenal cancer; Adrenal cancer care; adrenal cancer surgery; any cells; cancer; cancer cells; care at Mayo; chemotherapy; Chemotherapy treats; Chemotherapy treats cancer; diseases; germs; Immunotherapy; Mayo Clinic; medicines; other cells; other sources; Other treatments; pain; powerful energy beams; protons; radiation therapy; rays; some situations; strong medicines; surgery; the adrenal gland; the body's immune system; the cancer; The energy; The immune system; therapy; Those treatments; Treatment; treats cancer,,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026
Adrenoleukodystrophy,,A small sample; Blood testing; Blood testing.; disease progression; fibroblast cell culture; high levels; males; MRI; MRI.; Powerful magnets; radio waves; Skin biopsy; These tests; Vision screening.; visual responses,,Adrenal insufficiency treatment; Adrenal insufficiency treatment.; ALD; an option; Many people; Medications; Medications.; muscle rigidity; muscle spasms; Physical therapy; Physical therapy.; Stem cell transplant; Stem cell transplant.; symptoms; the progression; Your doctor,,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157
Adult Still disease,A rash; Achy and swollen joints; Achy and swollen joints.; adult; at least 102 degrees; Fahrenheit; Fever; Fever.; Joints; Muscle pain; Muscle pain.; Muscular pain; Rash; Rash.; Sore throat,ANA; ANA) test; Antinuclear antibody; C-reactive protein; C-reactive protein test; CT scan; Echocardiogram; erythrocyte sedimentation; erythrocyte sedimentation rate; Ferritin; Ferritin test; protein test; scan; Sed rate; test; Ultrasound; X-ray,,adult Still disease; Biologic response modifiers; Biologic response modifiers.; ibuprofen; Many people; Methotrexate; Methotrexate.; Nonsteroidal anti-inflammatory drugs; Nonsteroidal anti-inflammatory drugs (NSAIDs).; NSAIDs; other medicines; Steroids; Steroids.; The medicine methotrexate; Trexall; your health care provider,all types; exercise; high doses; Keep moving.; no symptoms; prednisone; Supplement your diet.; Understand your medicines.; your care provider; your diet; your joints; your medicines,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907
Adult attention-deficit/hyperactivity disorder (ADHD),a task; activity or restlessness; completing tasks; Disorganization; Disorganization and problems; Excessive activity; Frequent mood; Frequent mood swings; frustration tolerance; Hot; Hot temper; Impulsiveness; Low frustration; Low frustration tolerance; mood swings,"ADHD rating scales; any current medical issues; information; Information gathering; Information gathering,; other possible causes; Physical exam; Physical exam,; psychological tests; questions; your symptoms",,A combination; ADHD; adults; education; medication; psychological counseling; Standard treatments; the most effective treatment; These treatments; training,a list; a notebook; a routine; an appointment book; appointments; Ask for help; Break down tasks; checklists; day; electronic calendar; electronic device; family members; Follow a routine; help; ideas; information; items; Keep an appointment book; Make a list of tasks; notes,https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878
Agoraphobia,a bus; a companion; anxiety; avoidance; bridges; Crowds; Crowds or waiting; elevators; Enclosed spaces; extremely upset; home; Leaving; Leaving home; line; major distress,-depth interview; a mental health provider; other conditions; Physical exam; Symptoms; your health care provider; your symptoms,,"a gradual, predictable, controllable and repetitive manner; a panic attack; Agoraphobia; Agoraphobia treatment; anxiety; bad things; both psychotherapy; called talk; called talk therapy; exposure therapy; includes both psychotherapy; medicine; outcomes; panic-like symptoms; situations; some time; symptoms; symptoms of anxiety; talk therapy; That anxiety; treatment; Ways; What factors; your worries",a family member; agoraphobia; anxiety; friend; mild fears; no sure way; places; professional help; situations; those places,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987
Airplane ear,,,,ease pressure; maneuver; pinching the nostrils; pressure; the mouth; the nose; the nostrils; The Valsalva maneuver; Valsalva; Valsalva maneuver,,https://www.mayoclinic.org/diseases-conditions/airplane-ear/symptoms-causes/syc-20351701
Albinism,albinism; albinism involve skin; eye color; hair; hair and eye; involve skin; skin; Symptoms; Symptoms of albinism; vision; affected gene; an affected gene; cells; Different types; eyes,A physical exam; A thorough eye exam; child medical history; Comparison; exam; eye exam; hair pigmentation; other family members; Review; skin; your child's medical history; your child's pigmentation,,an eye exam; an ophthalmologist; Eye care; Eye care.; prevention; skin cancer; Skin care,"a family member; a future child; a genetic counselor; a hand-held magnifying glass; a sun protection factor; a telescope; albinism; Always use sunscreen; Another option; clothes; color; dark, UV -blocking sunglasses; Examples; eyes; family member; high-risk or lengthy sun exposure; long periods; low vision aids; Protect eyes; protective clothing; SPF; sunscreen; the available genetic tests; the chances; The counselor; the type; understand the type; Use low vision aids,; Wear protective clothing,",https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184
Alcohol poisoning,a gap; blue; breaths; breaths a minute; Confusion; fewer than eight breaths; gray or pale; hypothermia; Low body; Low body temperature; more than 10 seconds; Seizures; Skin; Slow breathing; Trouble,addition; alcohol poisoning; alcohol toxicity; blood; blood alcohol levels; low blood sugar; other signs; symptoms; visible signs; your doctor,,a vein; breathing; dehydration; Fluids; glucose; Monitoring to prevent; Oxygen; Oxygen therapy; problems; therapy; Use; vitamins,a health care provider; alcohol; alcohol poisoning; alcohol-containing products; an emergency situation; an empty stomach; certain medicines; Communicate with your teens.; emergency situation; follow-up care; Get follow-up care.; healthy adults; Home; Home remedies; moderation; poisoning; remedies; remedies for alcohol; small children; some food; Some medicines; Store products; Store products safely.; the dangers; work; your stomach; your teenagers; your teens,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386
Alcohol use disorder,"a lot; a strong craving; a tolerance; alcohol; Alcohol intoxication; Alcohol intoxication results; alcohol use; Alcohol withdrawal; alcohol you drink; hobbies; its effect; major obligations; making unsuccessful attempts; nausea; physical, social, work or relationship problems",a physical exam; a psychological evaluation; Complete a psychological evaluation.; imaging tests; lab tests; no specific tests; Perform a physical exam.; questions; some questions; The provider; This evaluation; your drinking habits; Your health care provider,,A drug; a residential treatment facility; a stay; a treatment plan; a version; activity therapy; Aftercare programs; Alcohol; Continuing support; Continuing support.; Counseling; Detox; Detox and withdrawal.; disulfiram; educational lectures; family involvement; group therapy; health conditions; Injected medication; Injected medication.; Many alcohol-related health problems; Medical treatment; Medical treatment for health conditions.; Most residential treatment programs; new skills; Oral medications; Oral medications.; Residential treatment programs; serious alcohol use disorder; support groups,a good example; activities; alcohol; changes; Consider your social situation.; Declining grades; defensive behavior; Develop healthy habits.; Difficulties; example; family; Frequent mood; Frequent mood changes; good sleep; healthy habits; interest; Loss; problems; quality time; Red eyes; relationships; school; Set a good; speech; the consequences; things; what behavior; your activities; your child; your friends; your social situation,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
Alcoholic hepatitis,a buildup; appetite; ascites; Belly; Belly tenderness; Fever; Fluid buildup; Kidney; Kidney and liver; liver failure; Loss; Loss of appetite; low grade; Nausea; Nausea and vomiting,a clear diagnosis; Alanine aminotransferase; ALT) blood test; An ultrasound; biopsy; Blood; Blood tests; CT scan; function tests; imaging; Liver; Liver biopsy; Liver function; Liver function tests; MRI; other tests; scan; tests; Ultrasound,,a dietitian; a special diet; alcoholic hepatitis; alcoholic hepatitis involves; an expert; diet; disease; hepatitis involves; hepatitis involves quitting; involves quitting drinking; liver damage; nutrients; poor nutrition; the symptoms; the vitamins; therapies; Treatment; Treatment for alcoholic; ways; Your healthcare,a liver disease; a virus; alcohol; Corticosteroids; Corticosteroids.; healthy adults; hepatitis C. Hepatitis C; medicines; moderation; N-acetylcysteine; Other treatment; Other treatment.; Pentoxifylline; Pentoxifylline.; Protect yourself from hepatitis C.; some people; These medicines; this medicine; your healthcare,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388
